Query	MGE_ID	Identity	E_value	MGE_type	MGE_class
Unigene960773	21_rep5_6_rep(pRJ9)_AF447813.1	24.8	2.6e-13	plasmid	rep5
Unigene965744	143_repUS21__rep(pWBG764)_GQ900468.1	24.7	1.3e-06	plasmid	repUS21
Unigene969255	901_tniA_CT025833.1	33.1	5.7e-08	tniA	tniA
Unigene973223	129_repUS7__rep(pHTbeta)_AB183714	35.8	8.5e-06	plasmid	repUS7
Unigene977692	1333_tnpA_FJDF01000007.1	43.6	8.4e-08	transposase	tnpA
Unigene978741	545_tnpA(ISnew)_AJ698325.1	48.5	6.6e-08	transposase	tnpA(ISnew)
Unigene980183	113_rep21_11_rep(pSA1308)_AB254848.1	31.5	1.1e-12	plasmid	rep21
Unigene983371	1987_tnpA_AE014299.2	32.8	3.2e-06	transposase	tnpA
Unigene990698	420_tnpA_AP013353.1	25.4	4.0e-15	transposase	tnpA
Unigene993992	102_rep20_11_repA(VRSAp)_AP003367	29.8	1.4e-09	plasmid	rep20
Unigene994528	143_repUS21__rep(pWBG764)_GQ900468.1	27.6	5.8e-17	plasmid	repUS21
Unigene996591	140_repUS18__rep(pKKS825)_FN377602.2	39.3	1.0e-07	plasmid	repUS18
Unigene996659	106_rep21_4_repRC(pSK41)_AF051917.1	25.7	6.6e-09	plasmid	rep21
Unigene997696	64_rep13_2_CDS39(pSSP1)_AP008935	27.5	3.9e-10	plasmid	rep13
Unigene998236	63_rep13_1_ORF(pC194)_NC002013	35.9	2.3e-08	plasmid	rep13
Unigene1003285	132_repUS10__CDS25(pSSP1)_AP008935	25.7	1.9e-06	plasmid	repUS10
Unigene1005542	26_rep7_3_CDS1(pCW7)_J03323	29.4	1.1e-10	plasmid	rep7
Unigene1007203	2146_IS91_AGTS01000028.1	33.7	1.2e-09	IS91	IS91
Unigene1008989	901_tniA_CT025833.1	31.4	3.0e-20	tniA	tniA
Unigene1009262	1365_tnpA_AJ001828.1	32.8	4.1e-08	transposase	tnpA
Unigene1010532	1586_IS91_LRLH01000146.1	35.3	9.5e-12	IS91	IS91
Unigene1011308	143_repUS21__rep(pWBG764)_GQ900468.1	36.3	1.8e-08	plasmid	repUS21
Unigene1013874	64_rep13_2_CDS39(pSSP1)_AP008935	30.8	4.8e-07	plasmid	rep13
Unigene1016798	1613_tnpA_AGBB01000127.1	35.9	2.5e-06	transposase	tnpA
Unigene1019771	929_tnpA_CP009654.1	24.5	2.2e-06	transposase	tnpA
Unigene1023596	111_rep21_9_rep(pKH12)_EU168704.2	26.2	9.3e-08	plasmid	rep21
Unigene1024473	1987_tnpA_AE014299.2	49.2	4.4e-07	transposase	tnpA
Unigene1024659	2556_tnpA_EU646207.1	30.9	1.4e-13	transposase	tnpA
Unigene1030447	1558_tnpA_U13767.1	32.2	1.5e-09	transposase	tnpA
Unigene1039845	842_IS91_CU459003.1	58.7	2.8e-08	IS91	IS91
Unigene1039886	1613_tnpA_AGBB01000127.1	24.9	2.5e-08	transposase	tnpA
Unigene1041559	65_rep13_3_rep(pWBG1773)_EF537646	36.0	1.6e-07	plasmid	rep13
Unigene1043391	817_tnpA_ISSod37_AE014300.1	28.4	2.1e-08	transposase	tnpA
Unigene1043678	788_tnpA_FIIQ01000003.1	41.6	1.6e-06	transposase	tnpA
Unigene1044310	1106_tnpA_AF100324.1	29.5	2.1e-10	transposase	tnpA
Unigene1044993	943_tnpA_AM286430.1	25.8	5.7e-08	transposase	tnpA
Unigene1046482	145_repUS23__repA(SAP099B)_GQ900449.1	50.0	4.9e-08	plasmid	repUS23
Unigene1049295	1691_tnpA_CR377166.1	32.9	1.4e-08	transposase	tnpA
Unigene1049443	2055_tnpA_1_CP001621.1	33.5	4.4e-16	transposase	tnpA
Unigene1054232	1106_tnpA_AF100324.1	28.8	7.0e-08	transposase	tnpA
Unigene1055220	143_repUS21__rep(pWBG764)_GQ900468.1	40.2	1.7e-06	plasmid	repUS21
Unigene1064386	122_rep24_2_rep(pWBG749)_GQ900391.1	36.6	5.4e-07	plasmid	rep24
Unigene1067266	901_tniA_CT025833.1	44.7	1.3e-08	tniA	tniA
Unigene1067985	1585_tnpA1000_KX709966.1	32.5	1.9e-06	transposase	tnpA1000
Unigene1069582	63_rep13_1_ORF(pC194)_NC002013	28.1	5.3e-06	plasmid	rep13
Unigene1071915	143_repUS21__rep(pWBG764)_GQ900468.1	35.8	2.5e-06	plasmid	repUS21
Unigene1072796	49_rep9_4_repA2(pTEF2)_AE016831	35.4	2.6e-07	plasmid	rep9
Unigene1080259	1045_IS91_CP000721.1	34.7	7.7e-09	IS91	IS91
Unigene1084252	56_rep10b_1_rep(pSK3)_NC001994	45.5	2.9e-08	plasmid	rep10b
Unigene1085394	901_tniA_CT025833.1	28.2	2.8e-07	tniA	tniA
Unigene1086409	132_repUS10__CDS25(pSSP1)_AP008935	31.7	4.0e-08	plasmid	repUS10
Unigene1089860	27_rep7_4_repD(pK214)_NC009751	48.9	8.9e-06	plasmid	rep7
Unigene1090053	120_rep23_2_rep(pV030-8)_EU366902.1	40.2	2.1e-06	plasmid	rep23
Unigene1090766	92_rep20_1_ORF1(EDINA)_AP003089	21.9	3.8e-07	plasmid	rep20
Unigene1090976	311_IS91_LRLK01000111.1	57.8	2.4e-07	IS91	IS91
Unigene1091407	122_rep24_2_rep(pWBG749)_GQ900391.1	33.3	2.5e-07	plasmid	rep24
Unigene1091690	132_repUS10__CDS25(pSSP1)_AP008935	28.7	8.5e-13	plasmid	repUS10
Unigene1092351	1929_tniA_AY305378.1	50.0	1.3e-06	tniA	tniA
Unigene1092735	500_tniB_GQ406245.5	25.0	6.2e-06	tniB	tniB
Unigene1093803	1604_int2_FR824043.1	28.8	5.0e-10	integrase	int2
Unigene1094583	143_repUS21__rep(pWBG764)_GQ900468.1	30.9	4.7e-07	plasmid	repUS21
Unigene1095277	2521_tniB_KU549175.1	32.8	4.0e-09	tniB	tniB
Unigene1097222	1904_tniA_KF439868.1	36.4	4.4e-17	tniA	tniA
Unigene1099027	2556_tnpA_EU646207.1	34.7	2.9e-10	transposase	tnpA
Unigene1099089	2556_tnpA_EU646207.1	37.1	2.5e-09	transposase	tnpA
Unigene1102691	1753_IS91_CP000272.1	30.8	3.7e-07	IS91	IS91
Unigene1109888	1462_IS91_LGTC01000001.1	38.5	2.7e-06	IS91	IS91
Unigene1110847	103_rep21_1_rep(pWBG754)_GQ900396.1	28.2	3.7e-07	plasmid	rep21
Unigene1111506	77_rep16_6_unknown(SAP071A)_GQ900485.1	30.2	3.4e-12	plasmid	rep16
Unigene1117487	561_tnpA_JORG01000037.1	50.0	3.5e-06	transposase	tnpA
Unigene1119133	2468_IS91_JPGY02000001.1	27.0	2.0e-07	IS91	IS91
Unigene1119279	1407_IS91_AESD01000951.1	26.1	1.7e-06	IS91	IS91
Unigene1121812	16_rep5_1_rep(pMW2)_NC005011	26.8	3.7e-08	plasmid	rep5
Unigene1122637	64_rep13_2_CDS39(pSSP1)_AP008935	33.6	1.1e-07	plasmid	rep13
Unigene1124749	95_rep20_4_repA(SAP102A)_GQ900496.1	30.7	1.1e-07	plasmid	rep20
Unigene1125319	1406_IS91_ANZB01000012.1	29.1	4.7e-06	IS91	IS91
Unigene1125404	1106_tnpA_AF100324.1	46.0	9.0e-06	transposase	tnpA
Unigene1125564	132_repUS10__CDS25(pSSP1)_AP008935	30.0	6.3e-11	plasmid	repUS10
Unigene1128317	36_rep7_13_rep(pSBK203)_U35036.1	24.7	3.2e-10	plasmid	rep7
Unigene1130390	39_rep7_16_repD_AY939911	25.1	4.7e-16	plasmid	rep7
Unigene1131241	1024_tnpA_HE983995.1	25.1	4.6e-07	transposase	tnpA
Unigene1133076	1144_tnpA_AJ564386.1	25.8	1.5e-07	transposase	tnpA
Unigene1134385	93_rep20_2_repA(pWBG753)_GQ900395.1	29.6	2.0e-06	plasmid	rep20
Unigene1139728	1558_tnpA_U13767.1	26.5	5.4e-08	transposase	tnpA
Unigene1139986	145_repUS23__repA(SAP099B)_GQ900449.1	58.3	3.5e-06	plasmid	repUS23
Unigene1143546	145_repUS23__repA(SAP099B)_GQ900449.1	36.0	5.5e-07	plasmid	repUS23
Unigene1147848	2323_IS91_CP003879.1	26.1	1.7e-06	IS91	IS91
Unigene1147889	437_tnpA_CP003069.1	39.3	2.3e-08	transposase	tnpA
Unigene1148978	2323_IS91_CP003879.1	36.5	3.8e-08	IS91	IS91
Unigene1149413	1375_tnpA_ADMU01000041.1	43.3	2.1e-06	transposase	tnpA
Unigene1153523	1144_tnpA_AJ564386.1	28.4	1.3e-09	transposase	tnpA
Unigene1157136	1372_tnpA_CBTB010000226.1	42.0	6.4e-07	transposase	tnpA
Unigene1160431	106_rep21_4_repRC(pSK41)_AF051917.1	30.8	3.9e-13	plasmid	rep21
Unigene1160441	1557_tnpA_AJ829923.1	36.6	2.8e-08	transposase	tnpA
Unigene1160495	1106_tnpA_AF100324.1	41.5	1.9e-13	transposase	tnpA
Unigene1160630	1593_IS91_AAXY01000025.1	28.0	3.4e-07	IS91	IS91
Unigene1163430	495_tnpA_ISSod13_AE014300.1	37.7	4.3e-06	transposase	tnpA
Unigene1164866	61_rep12_1_CDS32(pBMB67)_DQ363750	28.9	1.4e-06	plasmid	rep12
Unigene1169087	1823_tnpA_DQ257629.1	29.6	1.9e-08	transposase	tnpA
Unigene1170108	2226_tnpA_AP013353.1	30.1	1.7e-10	transposase	tnpA
Unigene1171003	112_rep21_10_rep(pKH14)_EU164802.1	37.7	1.5e-07	plasmid	rep21
Unigene1171661	1406_IS91_ANZB01000012.1	37.0	8.9e-06	IS91	IS91
Unigene1173335	1558_tnpA_U13767.1	28.3	1.9e-08	transposase	tnpA
Unigene1173844	63_rep13_1_ORF(pC194)_NC002013	30.5	1.4e-21	plasmid	rep13
Unigene1174053	2530_tnpA_AOCI01000035.1	45.2	1.3e-09	transposase	tnpA
Unigene1174771	2556_tnpA_EU646207.1	37.6	4.8e-16	transposase	tnpA
Unigene1175003	1337_tnpA_AP001918.1	28.1	1.1e-21	transposase	tnpA
Unigene1179458	45_rep8_2_repA(pEJ97-1)_AJ49170	28.4	8.6e-06	plasmid	rep8
Unigene1183017	1004_tnpA_KT779035.1	39.3	1.0e-07	transposase	tnpA
Unigene1184975	539_tnpA_AMUO01000285.1	39.0	9.9e-06	transposase	tnpA
Unigene1186051	1045_IS91_CP000721.1	35.3	5.4e-07	IS91	IS91
Unigene1188412	36_rep7_13_rep(pSBK203)_U35036.1	27.2	3.9e-07	plasmid	rep7
Unigene1188414	1328_tnpA_KR230047.1	25.5	7.1e-06	transposase	tnpA
Unigene1189236	2556_tnpA_EU646207.1	48.3	2.2e-07	transposase	tnpA
Unigene1190691	104_rep21_2_rep(pNVH01)_AJ512814.1	29.7	2.7e-06	plasmid	rep21
Unigene1192503	943_tnpA_AM286430.1	32.5	1.6e-12	transposase	tnpA
Unigene1195887	2766_tnpA_LN997849.1	32.4	6.9e-07	transposase	tnpA
Unigene1198156	124_repUS2__repA(pBI143)_BFU30316	38.2	3.4e-07	plasmid	repUS2
Unigene1201314	2245_tnpA_CP000042.1	30.6	9.1e-11	transposase	tnpA
Unigene1202336	1049_tnpA_HF565366.1	32.6	2.8e-11	transposase	tnpA
Unigene1203842	75_rep16_4_unknown(SAP056A)_GQ900478.1	31.9	7.8e-16	plasmid	rep16
Unigene1213686	108_rep21_6_rep(pBMSa1)_AY541446.1	30.4	1.9e-06	plasmid	rep21
Unigene1214256	1468_istA_CTRI01000001.1	44.3	3.6e-06	istA	istA
Unigene1216170	134_repUS12__rep(pUB110)_AF181950	29.5	6.2e-13	plasmid	repUS12
Unigene1218181	2236_tnpA_CAGD01000034.1	39.8	4.9e-06	transposase	tnpA
Unigene1220825	2556_tnpA_EU646207.1	51.7	3.9e-08	transposase	tnpA
Unigene1225684	140_repUS18__rep(pKKS825)_FN377602.2	41.3	3.9e-08	plasmid	repUS18
Unigene1226751	1328_tnpA_KR230047.1	26.4	3.0e-06	transposase	tnpA
Unigene1227349	103_rep21_1_rep(pWBG754)_GQ900396.1	30.0	1.7e-06	plasmid	rep21
Unigene1227367	42_rep7b_2_pVGA_NC_011605.1	39.7	7.5e-21	plasmid	rep7b
Unigene1227903	943_tnpA_AM286430.1	32.7	3.1e-13	transposase	tnpA
Unigene1231047	1867_IS91_CP003879.1	44.9	1.6e-06	IS91	IS91
Unigene1232587	1328_tnpA_KR230047.1	29.3	1.8e-11	transposase	tnpA
Unigene1237285	30_rep7_7_rep(pKH7)_NC002096	27.5	8.6e-14	plasmid	rep7
Unigene1240241	313_tnpA_CT573071.1	31.3	1.2e-14	transposase	tnpA
Unigene1241253	2556_tnpA_EU646207.1	43.2	5.6e-06	transposase	tnpA
Unigene1248392	1106_tnpA_AF100324.1	26.6	7.7e-17	transposase	tnpA
Unigene1250732	1566_ISBf10_NC006347	41.1	3.4e-18	ISBf10	ISBf10
Unigene1251867	112_rep21_10_rep(pKH14)_EU164802.1	30.0	1.7e-07	plasmid	rep21
Unigene1254472	78_rep16_7_rep(pBORa53)_AY917098.1	38.8	8.9e-06	plasmid	rep16
Unigene1255519	1328_tnpA_KR230047.1	35.7	3.9e-10	transposase	tnpA
Unigene1257525	83_rep19_2_rep(pSA1379)_NC007931	35.5	7.3e-12	plasmid	rep19
Unigene1262142	64_rep13_2_CDS39(pSSP1)_AP008935	33.6	1.4e-25	plasmid	rep13
Unigene1262169	1617_tnpA_AOCI01000152.1	30.2	8.9e-08	transposase	tnpA
Unigene1262813	1227_tnpA_AY780525.1	33.6	5.7e-08	transposase	tnpA
Unigene1262998	2735_tnpA_HE616891.1	40.7	9.1e-09	transposase	tnpA
Unigene1265614	140_repUS18__rep(pKKS825)_FN377602.2	26.6	7.4e-12	plasmid	repUS18
Unigene1266365	1249_IS91_CP003879.1	35.3	6.4e-06	IS91	IS91
Unigene1267056	26_rep7_3_CDS1(pCW7)_J03323	28.9	6.5e-06	plasmid	rep7
Unigene1267806	2556_tnpA_EU646207.1	28.8	1.9e-10	transposase	tnpA
Unigene1271058	78_rep16_7_rep(pBORa53)_AY917098.1	45.8	1.0e-08	plasmid	rep16
Unigene1276347	2183_tnpA_JQ764731.1	28.3	5.8e-07	transposase	tnpA
Unigene1278606	1924_Tn916-orf7_KC414929	46.3	3.9e-06	Tn916	Tn916-orf7
Unigene1279750	1328_tnpA_KR230047.1	25.4	1.9e-06	transposase	tnpA
Unigene1280008	121_rep24_1_rep(pWBG745)_GQ900389.1	34.6	5.7e-07	plasmid	rep24
Unigene1281111	46_rep9_1_repA(pAD1)_L01794	29.3	3.1e-13	plasmid	rep9
Unigene1283382	85_rep19_4_repA(pUB101)_NC005127	42.2	6.7e-08	plasmid	rep19
Unigene1284070	2116_IS91_FN649418.1	28.5	1.9e-09	IS91	IS91
Unigene1285174	140_repUS18__rep(pKKS825)_FN377602.2	29.0	1.3e-15	plasmid	repUS18
Unigene1285346	1585_tnpA1000_KX709966.1	48.3	6.5e-06	transposase	tnpA1000
Unigene1285439	1003_tnpA_AP013353.1	34.4	2.2e-22	transposase	tnpA
Unigene1297974	1223_tnpA_DQ973625.1	30.6	2.2e-06	transposase	tnpA
Unigene1298733	1102_ISPvsp2_ALJQ01000002	28.5	3.3e-08	ISPvsp2	ISPvsp2
Unigene1299354	1156_ISCrsp1_LGIP01000002	33.3	7.9e-08	ISCR	ISCrsp1
Unigene1304533	403_tnpA_AP014631.1	36.2	9.3e-06	transposase	tnpA
Unigene1305389	2259_tniA_JF262170.1	31.8	1.8e-17	tniA	tniA
Unigene1308945	607_tnpA_KM107842.1	31.9	2.2e-06	transposase	tnpA
Unigene1309155	1102_ISPvsp2_ALJQ01000002	38.3	1.6e-06	ISPvsp2	ISPvsp2
Unigene1309295	21_rep5_6_rep(pRJ9)_AF447813.1	24.0	1.4e-09	plasmid	rep5
Unigene1311333	545_tnpA(ISnew)_AJ698325.1	41.9	9.1e-07	transposase	tnpA(ISnew)
Unigene1312427	138_repUS16__repF(pE194)_M17811.1	24.0	1.1e-23	plasmid	repUS16
Unigene1314154	85_rep19_4_repA(pUB101)_NC005127	36.1	3.0e-07	plasmid	rep19
Unigene1315485	30_rep7_7_rep(pKH7)_NC002096	29.7	2.9e-09	plasmid	rep7
Unigene1315620	1264_tnpA_AE014299.2	30.2	1.8e-06	transposase	tnpA
Unigene1316602	856_tnpA_U05888.2	33.3	4.0e-15	transposase	tnpA
Unigene1316787	63_rep13_1_ORF(pC194)_NC002013	30.6	6.3e-06	plasmid	rep13
