	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	Description
EC:1.14.14.3	0	0	0	6	33	0	0	Alkanal monooxygenase (FMN-linked)
EC:1.14.14.5	32053	6797	11242	14230	16769	14303	4270	Alkanesulfonate monooxygenase
EC:1.14.14.8	130	65	98	150	98	214	38	Anthranilate 3-monooxygenase (FAD)
EC:1.14.14.9	864	1945	1126	1496	9832	1574	630	4-hydroxyphenylacetate 3-monooxygenase
EC:1.14.15.12	0	0	0	0	28	69	12	Pimeloyl-[acyl-carrier protein] synthase
EC:1.14.15.13	38	0	0	0	102	0	12	Pulcherriminic acid synthase
EC:1.14.15.3	1765	2951	4073	3416	7561	3306	1223	Alkane 1-monooxygenase
EC:1.14.15.7	887	709	2491	1701	12596	1921	2547	Choline monooxygenase
EC:1.14.15.9	58	41	28	19	267	28	57	Spheroidene monooxygenase
EC:1.14.16.1	40015	6219	14125	21532	10099	16564	3773	Phenylalanine 4-monooxygenase
EC:1.14.16.2	385	423	341	564	136	259	8	Tyrosine 3-monooxygenase
EC:1.14.17.3	27	19	61	110	13	44	0	Peptidylglycine monooxygenase
EC:1.14.18.1	211	183	442	521	533	546	472	Tyrosinase
EC:1.14.18.3	37	47	164	84	3998	103	295	Methane monooxygenase (particulate)
EC:1.14.19.1	37900	15140	17234	16986	25487	12411	16630	Stearoyl-CoA 9-desaturase
EC:1.14.19.2	5792	2399	3325	3889	2132	4698	679	Stearoyl-[acyl-carrier-protein] 9-desaturase
EC:1.14.19.20	152	118	819	70	35	815	7	Delta(7)-sterol 5(6)-desaturase
EC:1.14.19.3	11180	11176	10956	12740	5618	9093	856	Acyl-CoA 6-desaturase
EC:1.14.19.8	0	46	17	0	0	0	104	Pentalenolactone synthase
EC:1.14.19.9	40256	7996	17433	38490	8528	39806	697	Tryptophan 7-halogenase
EC:1.14.99.1	0	0	8	33	33	172	0	Prostaglandin-endoperoxide synthase
EC:1.14.99.29	0	0	0	0	2424	0	42	Deoxyhypusine monooxygenase
EC:1.14.99.39	37	47	164	84	3998	103	295	Ammonia monooxygenase
EC:1.14.99.44	129	104	67	32	42	16	30	Diapolycopene oxygenase
EC:1.14.99.46	3125	515	1289	2294	679	2908	254	Pyrimidine monooxygenase
EC:1.14.99.48	1550	1006	659	476	395	456	644	Heme oxygenase (staphylobilin-producing)
EC:1.14.99.50	270	814	403	488	1560	810	255	Gamma-glutamyl hercynylcysteine S-oxide synthase
EC:1.15.1.1	103146	37782	54662	72966	72844	55314	38776	Superoxide dismutase
EC:1.15.1.2	1165	969	218	187	1677	96	4715	Superoxide reductase
EC:1.16.1.1	365	190	1536	2036	806	1720	584	Mercury(II) reductase
EC:1.16.1.3	31	60	408	1859	358	201	140	Aquacobalamin reductase
EC:1.16.1.9	0	20	282	792	142	23	91	Ferric-chelate reductase (NADPH)
EC:1.16.3.1	48027	13585	25992	31030	62267	27134	37990	Ferroxidase
EC:1.16.3.2	7086	7520	6717	9901	5930	4836	4167	Bacterial non-heme ferritin
EC:1.16.8.1	670	244	903	1745	444	1626	111	"Cob(II)yrinic acid a,c-diamide reductase"
EC:1.17.1.1	29561	6394	7556	7424	33022	4742	16423	CDP-4-dehydro-6-deoxyglucose reductase
EC:1.17.1.2	57178	23209	27055	39401	43416	30015	27152	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EC:1.17.1.4	119619	26606	40302	59631	62851	56329	23799	Xanthine dehydrogenase
EC:1.17.1.8	54185	25094	29569	39930	54812	32134	29224	4-hydroxy-tetrahydrodipicolinate reductase
EC:1.17.2.1	547	611	1842	1313	4074	1858	1081	Nicotinate dehydrogenase (cytochrome)
EC:1.17.3.2	17	340	350	180	353	26	0	Xanthine oxidase
EC:1.17.4.1	109546	49207	66080	87266	111060	62698	61698	Ribonucleoside-diphosphate reductase
EC:1.17.4.2	6632	4517	3512	8275	9072	3044	9946	Ribonucleoside-triphosphate reductase
EC:1.17.5.1	2	0	6	0	207	0	11	Phenylacetyl-CoA dehydrogenase
EC:1.17.7.1	52370	22195	26278	37486	43237	29297	26866	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
EC:1.17.7.3	52370	22195	26278	37486	43237	29297	26866	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
EC:1.17.99.1	193	57	283	1038	580	3416	277	4-methylphenol dehydrogenase (hydroxylating)
EC:1.17.99.6	48959	16840	25144	33293	40177	25981	18505	Epoxyqueuosine reductase
EC:1.18.1.1	2297	1161	1664	1583	12033	1216	3171	Rubredoxin--NAD(+) reductase
EC:1.18.1.2	43095	17443	20981	29212	57127	23509	28499	Ferredoxin--NADP(+) reductase
EC:1.18.1.3	10949	9540	15280	22365	24168	22129	4215	Ferredoxin--NAD(+) reductase
EC:1.18.1.7	279	165	593	305	723	306	513	specific)
EC:1.18.6.1	983	3181	2589	2819	30177	1713	9741	Nitrogenase
EC:1.2.1.10	3669	4989	6616	9660	69581	5033	2576	Acetaldehyde dehydrogenase (acetylating)
EC:1.2.1.11	54301	24176	29393	40684	50617	32312	30180	Aspartate-semialdehyde dehydrogenase
EC:1.2.1.12	62389	33920	40115	52427	64877	35567	32847	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
EC:1.2.1.16	87209	33444	40481	54092	73173	49740	33618	Succinate-semialdehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.18	47313	16281	21497	29892	43325	28816	11473	Malonate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.19	2262	868	1419	3085	1297	3078	357	Aminobutyraldehyde dehydrogenase
EC:1.2.1.2	68168	19135	26219	42210	78105	28992	44508	Formate dehydrogenase
EC:1.2.1.20	86624	33041	39725	52702	72369	48817	33158	Glutarate-semialdehyde dehydrogenase
EC:1.2.1.21	1323	504	1189	1431	504	631	236	Glycolaldehyde dehydrogenase
EC:1.2.1.22	1323	504	1189	1431	504	631	236	Lactaldehyde dehydrogenase
EC:1.2.1.24	361	289	675	1332	1216	384	470	Succinate-semialdehyde dehydrogenase (NAD(+))
EC:1.2.1.27	47313	16281	21497	29892	43325	28816	11473	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
EC:1.2.1.28	761	707	1212	966	2225	584	996	Benzaldehyde dehydrogenase (NAD(+))
EC:1.2.1.3	124535	47314	55686	74670	77756	64252	28346	Aldehyde dehydrogenase (NAD(+))
EC:1.2.1.32	5429	1352	3559	4570	37798	3968	901	Aminomuconate-semialdehyde dehydrogenase
EC:1.2.1.38	52806	22923	28594	38664	44860	30090	27932	N-acetyl-gamma-glutamyl-phosphate reductase
EC:1.2.1.39	2645	2622	2033	2906	29437	3875	770	Phenylacetaldehyde dehydrogenase
EC:1.2.1.4	9990	10318	11179	11990	10604	13290	3146	Aldehyde dehydrogenase (NADP(+))
EC:1.2.1.41	49359	21943	26838	34693	44950	28343	26623	Glutamate-5-semialdehyde dehydrogenase
EC:1.2.1.43	298	373	188	247	2892	146	5197	Formate dehydrogenase (NADP(+))
EC:1.2.1.46	2150	2068	1047	1205	2441	1312	783	Formaldehyde dehydrogenase
EC:1.2.1.5	0	0	14	7	0	20	11	Aldehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.50	0	0	0	6	33	0	0	Long-chain-fatty-acyl-CoA reductase
EC:1.2.1.54	2300	1024	1397	2319	19971	1342	739	Gamma-guanidinobutyraldehyde dehydrogenase
EC:1.2.1.58	0	0	15	0	210	0	110	Phenylglyoxylate dehydrogenase (acylating)
EC:1.2.1.59	75	824	846	277	7107	85	2565	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
EC:1.2.1.60	720	1949	1568	2789	10834	1599	1141	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
EC:1.2.1.65	20	17	19	12	35	33	0	Salicylaldehyde dehydrogenase
EC:1.2.1.68	31644	3996	9503	11885	19900	11765	4268	Coniferyl-aldehyde dehydrogenase
EC:1.2.1.70	40476	17927	18767	23057	43789	12989	23156	Glutamyl-tRNA reductase
EC:1.2.1.71	8429	3346	7858	14389	5844	11353	1285	Succinylglutamate-semialdehyde dehydrogenase
EC:1.2.1.72	1491	601	1368	2765	11270	710	1092	Erythrose-4-phosphate dehydrogenase
EC:1.2.1.75	0	2	81	252	128	49	0	Malonyl CoA reductase (malonate semialdehyde-forming)
EC:1.2.1.76	149	32	0	0	3	0	0	Succinate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.77	161	118	113	188	593	59	358	"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))"
EC:1.2.1.79	86624	33041	39725	52702	72369	48817	33158	Succinate-semialdehyde dehydrogenase (NADP(+))
EC:1.2.1.8	7019	9795	7451	10037	11810	10971	4239	Betaine-aldehyde dehydrogenase
EC:1.2.1.80	55	807	827	265	1883	36	0	Long-chain acyl-[acyl-carrier-protein] reductase
EC:1.2.1.81	43	20	32	26	304	71	84	Sulfoacetaldehyde dehydrogenase (acylating)
EC:1.2.1.85	5429	1352	3559	4570	37798	3968	901	2-hydroxymuconate-6-semialdehyde dehydrogenase
EC:1.2.1.86	0	5	0	0	0	0	0	Geranial dehydrogenase
EC:1.2.1.87	590	584	1476	2163	27977	639	573	Propanal dehydrogenase (CoA-propanoylating)
EC:1.2.1.88	51883	20622	27195	34354	43104	28741	18008	L-glutamate gamma-semialdehyde dehydrogenase
EC:1.2.1.9	1013	1031	1150	1304	11232	444	632	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
EC:1.2.1.90	0	0	0	0	7	0	4	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.2.1.91	6882	5784	5676	6358	10775	3227	941	"3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
EC:1.2.3.3	748	610	442	498	611	373	628	Pyruvate oxidase
EC:1.2.4.1	85698	61746	69181	89559	159005	85479	51893	Pyruvate dehydrogenase (acetyl-transferring)
EC:1.2.4.2	49047	18238	25458	33667	37329	27469	19971	Oxoglutarate dehydrogenase (succinyl-transferring)
EC:1.2.4.4	31853	19925	28856	43880	18856	30078	3940	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
EC:1.2.5.1	7248	5523	4653	6338	5001	5733	1594	Pyruvate dehydrogenase (quinone)
EC:1.2.7.1	6718	8330	5289	12908	27529	3036	38838	Pyruvate synthase
EC:1.2.7.11	24012	25455	21697	34419	25628	22996	32441	2-oxoacid oxidoreductase (ferredoxin)
EC:1.2.7.3	29400	29264	23132	40253	31591	23953	44013	2-oxoglutarate synthase
EC:1.2.7.4	831	525	407	2755	1526	412	7507	Carbon-monoxide dehydrogenase (ferredoxin)
EC:1.2.7.5	618	532	350	363	7114	318	21289	Aldehyde ferredoxin oxidoreductase
EC:1.2.7.7	10	6	0	0	1553	16	2133	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
EC:1.2.7.8	35565	8747	13392	16453	46906	12291	28053	Indolepyruvate ferredoxin oxidoreductase
EC:1.2.98.1	124	322	128	61	29	434	72	Formaldehyde dismutase
EC:1.2.99.2	83520	23086	20035	30733	34269	33725	19932	Carbon-monoxide dehydrogenase (acceptor)
EC:1.2.99.5	2401	1788	1351	3236	6783	3677	16629	Formylmethanofuran dehydrogenase
EC:1.2.99.7	105	105	2	0	5	0	9	Aldehyde dehydrogenase (FAD-independent)
EC:1.20.1.1	2	4	11	8	0	27	4	Phosphonate dehydrogenase
EC:1.20.4.1	92987	33608	46383	65561	82986	55225	40743	Arsenate reductase (glutaredoxin)
EC:1.20.4.3	660	3143	747	1267	947	1970	391	Mycoredoxin
EC:1.20.9.1	0	0	24	194	18	179	66	Arsenate reductase (azurin)
EC:1.21.4.1	1752	994	570	6565	646	510	1288	D-proline reductase (dithiol)
EC:1.21.4.2	1672	1129	626	5450	541	444	1246	Glycine reductase
EC:1.21.4.4	380	322	129	1333	124	102	283	Betaine reductase
EC:1.21.98.1	3663	5279	4105	4851	1759	2462	3038	Cyclic dehypoxanthinyl futalosine synthase
EC:1.3.1.1	6790	2492	4304	6454	4245	5027	1296	Dihydrouracil dehydrogenase (NAD(+))
EC:1.3.1.10	50142	20325	28477	36380	54456	31907	22842	"Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
EC:1.3.1.101	4	0	0	7	4969	43	3064	"2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)"
EC:1.3.1.104	65	63	63	70	100	53	40	Enoyl-[acyl-carrier-protein] reductase
EC:1.3.1.106	5777	5631	5826	8124	9212	8002	2317	Cobalt-precorrin-6A reductase
EC:1.3.1.12	48271	19523	23422	32900	34057	25242	28094	Prephenate dehydrogenase
EC:1.3.1.13	520	195	234	480	79	936	18	Prephenate dehydrogenase (NADP(+))
EC:1.3.1.14	8873	5773	3621	6721	9992	2403	10010	Dihydroorotate dehydrogenase (NAD(+))
EC:1.3.1.21	0	0	0	0	11	0	21	7-dehydrocholesterol reductase
EC:1.3.1.22	1068	471	62	3	47	45	66	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))
EC:1.3.1.24	55	807	827	265	1883	36	0	Biliverdin reductase
EC:1.3.1.25	2206	828	1655	2971	11047	2744	431	"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
EC:1.3.1.28	1242	784	1726	2301	1015	855	373	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
EC:1.3.1.29	20	17	19	12	35	33	0	"Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase"
EC:1.3.1.31	23	25	15	36	93	26	12	2-enoate reductase
EC:1.3.1.32	143	349	248	173	253	427	37	Maleylacetate reductase
EC:1.3.1.33	55	807	827	265	1883	36	0	Protochlorophyllide reductase
EC:1.3.1.34	5615	7157	9172	9533	23710	7277	2920	"2,4-dienoyl-CoA reductase (NADPH)"
EC:1.3.1.38	0	0	0	0	0	0	27	Trans-2-enoyl-CoA reductase (NADPH)
EC:1.3.1.43	8810	3380	7746	13898	6216	14665	1187	Arogenate dehydrogenase
EC:1.3.1.44	3099	1036	3028	4105	1752	2510	673	Trans-2-enoyl-CoA reductase (NAD(+))
EC:1.3.1.45	315	1006	1207	1480	1615	482	125	2'-hydroxyisoflavone reductase
EC:1.3.1.49	65	32	49	75	49	107	19	"Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase"
EC:1.3.1.53	122	56	62	4	110	5	127	"(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase"
EC:1.3.1.54	5777	5631	5826	8124	9212	8002	2317	Precorrin-6A reductase
EC:1.3.1.56	0	0	0	0	10	0	11	"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase"
EC:1.3.1.58	0	0	0	0	0	22	0	"2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase"
EC:1.3.1.60	20	17	19	12	35	33	0	Dibenzothiophene dihydrodiol dehydrogenase
EC:1.3.1.64	39	36	40	80	167	123	11	"Phthalate 4,5-cis-dihydrodiol dehydrogenase"
EC:1.3.1.74	257	389	332	316	586	440	314	2-alkenal reductase (NAD(P)(+))
EC:1.3.1.75	19	57	421	463	550	630	0	Divinyl chlorophyllide a 8-vinyl-reductase
EC:1.3.1.76	22059	15141	19184	29102	37080	26229	22923	Precorrin-2 dehydrogenase
EC:1.3.1.78	55	807	836	265	1886	36	0	Arogenate dehydrogenase (NADP(+))
EC:1.3.1.83	1409	1006	1773	1610	2935	2186	355	Geranylgeranyl diphosphate reductase
EC:1.3.1.84	0	2	81	252	128	49	0	Acrylyl-CoA reductase (NADPH)
EC:1.3.1.85	860	1097	1785	1411	2618	2370	364	Crotonyl-CoA carboxylase/reductase
EC:1.3.1.86	441	1933	534	856	1034	993	370	Crotonyl-CoA reductase
EC:1.3.1.87	0	15	417	462	38	0	83	"3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase"
EC:1.3.1.9	65090	31789	44943	59844	66342	48600	28452	Enoyl-[acyl-carrier-protein] reductase (NADH)
EC:1.3.1.93	18	0	27	27	0	0	0	Very-long-chain enoyl-CoA reductase
EC:1.3.1.98	53540	23486	28790	39035	43324	29313	24375	UDP-N-acetylmuramate dehydrogenase
EC:1.3.3.11	3577	2540	4227	5657	19215	4239	3832	Pyrroloquinoline-quinone synthase
EC:1.3.3.14	39	834	179	47	57	11	0	Aclacinomycin-A oxidase
EC:1.3.3.3	47094	13828	23777	31038	36522	25088	18024	Coproporphyrinogen oxidase
EC:1.3.3.4	7052	7093	3561	5136	4200	3447	1710	Protoporphyrinogen oxidase
EC:1.3.3.5	306	127	333	302	658	202	206	Bilirubin oxidase
EC:1.3.3.6	626	3343	750	1169	1120	2092	378	Acyl-CoA oxidase
EC:1.3.4.1	0	11	2	0	120	16	1156	Fumarate reductase (CoM/CoB)
EC:1.3.5.1	104274	47415	58327	78574	105667	63243	54396	Succinate dehydrogenase (quinone)
EC:1.3.5.2	48760	17689	25104	32499	37384	27681	20080	Dihydroorotate dehydrogenase (quinone)
EC:1.3.5.3	184	1217	765	2241	579	876	1045	Protoporphyrinogen IX dehydrogenase (menaquinone)
EC:1.3.5.4	106709	50934	61105	84706	125458	66205	57532	Fumarate reductase (quinol)
EC:1.3.5.5	4	3	280	0	1418	6	0	15-cis-phytoene desaturase
EC:1.3.5.6	4	30	287	29	1502	12	8	"9,9'-di-cis-zeta-carotene desaturase"
EC:1.3.7.11	4	0	0	7	4969	43	3064	"2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase"
EC:1.3.7.2	0	0	8	0	56	0	0	"15,16-dihydrobiliverdin:ferredoxin oxidoreductase"
EC:1.3.7.3	0	0	8	0	56	0	0	Phycoerythrobilin:ferredoxin oxidoreductase
EC:1.3.7.5	55	807	827	265	1883	36	0	Phycocyanobilin:ferredoxin oxidoreductase
EC:1.3.7.7	4231	3026	5319	4830	8775	6558	343	Ferredoxin:protochlorophyllide reductase (ATP-dependent)
EC:1.3.7.8	0	0	12	0	256	0	88	Benzoyl-CoA reductase
EC:1.3.7.9	0	0	9	0	0	0	0	4-hydroxybenzoyl-CoA reductase
EC:1.3.8.1	30830	8089	7463	11109	9823	6480	7039	Short-chain acyl-CoA dehydrogenase
EC:1.3.8.12	1093	1406	2354	2245	3826	4339	720	(2S)-methylsuccinyl-CoA dehydrogenase
EC:1.3.8.3	0	0	0	0	10	0	11	(R)-benzylsuccinyl-CoA dehydrogenase
EC:1.3.8.4	36235	6911	15040	20200	27753	17900	10633	Isovaleryl-CoA dehydrogenase
EC:1.3.8.6	45292	20718	23249	28962	39613	25034	11387	Glutaryl-CoA dehydrogenase (ETF)
EC:1.3.8.7	76841	29865	40533	56294	69045	54014	29318	Medium-chain acyl-CoA dehydrogenase
EC:1.3.8.8	1657	1840	1875	1883	1429	3620	1084	Long-chain-acyl-CoA dehydrogenase
EC:1.3.98.1	1282	1549	1371	1008	3679	418	2101	Dihydroorotate oxidase (fumarate)
EC:1.3.99.12	108	120	95	148	118	101	8	2-methylacyl-CoA dehydrogenase
EC:1.3.99.16	125311	27744	41324	53636	67115	55270	21664	Isoquinoline 1-oxidoreductase
EC:1.3.99.22	94102	38899	52288	67854	81249	51009	47443	Coproporphyrinogen dehydrogenase
EC:1.3.99.23	201	1111	974	169	621	1031	8	"All-trans-retinol 13,14-reductase"
EC:1.3.99.26	16396	9438	12810	20879	5924	15041	1878	All-trans-zeta-carotene desaturase
EC:1.3.99.27	1354	212	960	1345	1036	2150	113	"1-hydroxycarotenoid 3,4-desaturase"
EC:1.3.99.28	16396	9438	12810	20879	5924	15041	1878	Phytoene desaturase (neurosporene-forming)
EC:1.3.99.29	16396	9438	12810	20879	5924	15041	1878	Phytoene desaturase (zeta-carotene-forming)
EC:1.3.99.31	16396	9438	12810	20879	5924	15041	1878	Phytoene desaturase (lycopene-forming)
EC:1.3.99.32	8	4	43	61	63	22	42	Glutaryl-CoA dehydrogenase (acceptor)
EC:1.3.99.33	140	11	20	11	96	0	14	Urocanate reductase
EC:1.3.99.35	4062	597	2838	4035	3126	6450	341	Chlorophyllide a reductase
EC:1.3.99.4	959	812	910	1523	18131	3105	1028	3-oxosteroid 1-dehydrogenase
EC:1.3.99.5	382	309	444	469	18073	862	517	3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)
EC:1.3.99.8	114	168	906	3513	403	1004	364	2-furoyl-CoA dehydrogenase
EC:1.4.1.1	26209	20351	23351	32889	30947	25554	14261	Alanine dehydrogenase
EC:1.4.1.11	334	1048	277	426	574	742	291	"L-erythro-3,5-diaminohexanoate dehydrogenase"
EC:1.4.1.13	108972	42763	52031	75457	85399	62542	52313	Glutamate synthase (NADPH)
EC:1.4.1.14	108972	42763	52031	75457	85399	62542	52313	Glutamate synthase (NADH)
EC:1.4.1.16	2038	1432	1162	915	8961	314	395	Diaminopimelate dehydrogenase
EC:1.4.1.18	857	929	731	974	612	426	641	Lysine 6-dehydrogenase
EC:1.4.1.2	16219	10817	14596	26634	21186	22404	4790	Glutamate dehydrogenase
EC:1.4.1.20	96	94	58	32	29	16	37	Phenylalanine dehydrogenase
EC:1.4.1.21	571	328	1104	1911	4854	1298	1501	Aspartate dehydrogenase
EC:1.4.1.23	136	1072	213	339	416	660	257	Valine dehydrogenase (NAD(+))
EC:1.4.1.24	105	99	0	0	4938	16	2534	3-dehydroquinate synthase II
EC:1.4.1.3	39982	11338	12773	17659	16766	7688	12474	Glutamate dehydrogenase (NAD(P)(+))
EC:1.4.1.4	8953	8408	9097	8767	19522	8127	12031	Glutamate dehydrogenase (NADP(+))
EC:1.4.1.9	13271	5089	11693	15177	24734	12342	1674	Leucine dehydrogenase
EC:1.4.3.10	151	1381	251	240	163	329	103	Putrescine oxidase
EC:1.4.3.16	46202	21259	23406	33082	41551	26352	26783	L-aspartate oxidase
EC:1.4.3.19	31225	7315	8943	10575	24506	9468	14207	Glycine oxidase
EC:1.4.3.20	61	41	2	0	0	0	0	L-lysine 6-oxidase
EC:1.4.3.21	537	2440	1646	1309	1066	1646	535	Primary-amine oxidase
EC:1.4.3.3	129	670	216	94	259	428	284	D-amino-acid oxidase
EC:1.4.3.4	15994	7593	11148	16885	24213	12290	1609	Monoamine oxidase
EC:1.4.3.5	48120	18228	25081	33029	35517	27472	9537	Pyridoxal 5'-phosphate synthase
EC:1.4.4.2	62472	28869	35815	55275	49105	42277	29021	Glycine dehydrogenase (aminomethyl-transferring)
EC:1.4.7.1	2142	4661	4197	4200	9685	1533	2831	Glutamate synthase (ferredoxin)
EC:1.4.9.1	1170	752	1138	2244	28164	7923	1304	Methylamine dehydrogenase (amicyanin)
EC:1.4.99.5	514	366	153	36	105	21	320	Glycine dehydrogenase (cyanide-forming)
EC:1.4.99.6	6826	3135	7581	12217	5770	10378	2830	D-arginine dehydrogenase
EC:1.5.1.1	296	36	45	26	16	68	150	(NAD(P)H)
EC:1.5.1.10	55	134	57	32	1018	103	268	"Saccharopine dehydrogenase (NADP(+), L-glutamate-forming)"
EC:1.5.1.2	54932	24463	30454	41953	45712	31211	28421	Pyrroline-5-carboxylate reductase
EC:1.5.1.20	53329	23049	29157	38545	42879	31473	24899	Methylenetetrahydrofolate reductase (NAD(P)H)
EC:1.5.1.21	575	458	536	920	773	1901	383	1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)
EC:1.5.1.24	0	0	20	3	12	0	0	N(5)-(carboxyethyl)ornithine synthase
EC:1.5.1.25	0	0	0	0	45	9	0	Thiomorpholine-carboxylate dehydrogenase
EC:1.5.1.28	262	103	108	133	319	643	191	Opine dehydrogenase
EC:1.5.1.3	53385	20260	28128	39027	46962	31354	19862	Dihydrofolate reductase
EC:1.5.1.33	952	1149	2871	1365	6470	2372	6077	Pteridine reductase
EC:1.5.1.34	637	444	1676	1341	1571	668	575	"6,7-dihydropteridine reductase"
EC:1.5.1.36	180	98	395	949	8923	257	146	Flavin reductase (NADH)
EC:1.5.1.38	32486	9877	9476	12113	10645	11224	4530	FMN reductase (NADPH)
EC:1.5.1.39	787	580	222	189	310	262	182	FMN reductase (NAD(P)H)
EC:1.5.1.41	31	60	408	1859	358	201	140	Riboflavin reductase (NAD(P)H)
EC:1.5.1.43	11	35	18	17	24	16	49	Carboxynorspermidine synthase
EC:1.5.1.45	52	27	20	0	13	0	30	FAD reductase (NAD(P)H)
EC:1.5.1.47	558	301	270	479	174	1038	54	Dihydromethanopterin reductase (NAD(P)(+))
EC:1.5.1.5	55604	24342	29938	41253	58506	32807	28994	Methylenetetrahydrofolate dehydrogenase (NADP(+))
EC:1.5.1.7	4434	2769	3486	5875	12355	7395	1979	"Saccharopine dehydrogenase (NAD(+), L-lysine-forming)"
EC:1.5.1.8	2	0	0	0	23	0	251	"Saccharopine dehydrogenase (NADP(+), L-lysine-forming)"
EC:1.5.1.9	55	273	827	29	68	32	269	"Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"
EC:1.5.3.1	25091	24775	27554	35720	110015	35034	9346	Sarcosine oxidase
EC:1.5.3.17	0	0	0	0	3	1	0	Non-specific polyamine oxidase
EC:1.5.3.19	1533	1253	2502	3378	3403	3263	772	4-methylaminobutanoate oxidase (formaldehyde-forming)
EC:1.5.3.7	24	60	45	84	46	134	3	L-pipecolate oxidase
EC:1.5.5.1	40145	7841	17087	23223	49219	22234	14731	Electron-transferring-flavoprotein dehydrogenase
EC:1.5.5.2	40907	10427	18620	24693	34890	22280	15903	Proline dehydrogenase
EC:1.5.8.1	59	121	212	99	1009	195	43	Dimethylamine dehydrogenase
EC:1.5.8.2	59	121	212	99	1009	195	43	Trimethylamine dehydrogenase
EC:1.5.8.3	0	0	95	61	0	88	16	Sarcosine dehydrogenase
EC:1.5.8.4	1723	1532	2772	4524	5108	2636	510	Dimethylglycine dehydrogenase
EC:1.5.98.1	0	0	0	0	72	16	881	Methylenetetrahydromethanopterin dehydrogenase
EC:1.5.98.2	88	176	122	182	871	252	2388	"5,10-methylenetetrahydromethanopterin reductase"
EC:1.5.99.15	0	0	0	0	10	8	303	Dihydromethanopterin reductase (acceptor)
EC:1.5.99.6	88	14	1008	1308	138	981	14	Spermidine dehydrogenase
EC:1.6.1.1	4859	1687	2933	4396	15999	3184	1450	NAD(P)(+) transhydrogenase (Si-specific)
EC:1.6.1.2	125923	45628	64564	81102	162301	72627	47509	NAD(P)(+) transhydrogenase (Re/Si-specific)
EC:1.6.2.2	19	16	47	12	800	9	16	Cytochrome-b5 reductase
EC:1.6.2.4	38	93	337	1265	181	689	201	NADPH--hemoprotein reductase
EC:1.6.3.3	0	6	0	0	1094	0	179	NADH oxidase (H(2)O(2)-forming)
EC:1.6.5.2	56485	17092	24815	35016	69078	32533	26527	NAD(P)H dehydrogenase (quinone)
EC:1.6.5.3	498479	195509	260514	363341	465402	287588	276132	NADH:ubiquinone reductase (H(+)-translocating)
EC:1.6.5.5	99107	27789	35116	48731	67099	47647	27344	NADPH:quinone reductase
EC:1.6.99.1	438	523	217	263	178	152	294	NADPH dehydrogenase
EC:1.6.99.3	87083	31938	41096	53914	71494	44033	33222	NADH dehydrogenase
EC:1.7.1.13	40936	11980	19961	25542	37105	22746	21643	PreQ(1) synthase
EC:1.7.1.15	84204	26256	30102	44682	79571	37555	30830	Nitrite reductase (NADH)
EC:1.7.1.6	0	12	0	0	17	0	12	Azobenzene reductase
EC:1.7.1.7	2077	2116	2340	3018	3595	1478	3641	GMP reductase
EC:1.7.2.1	2956	2012	4293	4099	17394	4045	7842	Nitrite reductase (NO-forming)
EC:1.7.2.2	320	440	436	1256	496	218	1331	Nitrite reductase (cytochrome; ammonia-forming)
