	Phylum	Class
1fa03a96b0b047d2d74a82bdc85f1f10	p__Proteobacteria	c__Gammaproteobacteria
922976f236d5e987b52e580d1baa7dce	p__Acidobacteria	c__Solibacteres
2639cdea28385b4ef59686dee872b2bc	p__Proteobacteria	c__Alphaproteobacteria
c832d8eb26aada78fb5e15dbdd71db62	p__Proteobacteria	c__Betaproteobacteria
e3facf02dd22ceb34bc2958472a179ca	p__Proteobacteria	c__Alphaproteobacteria
3ab1e1127c474abe02662ee820fd4b65	p__Proteobacteria	c__Betaproteobacteria
3397f408aba1a1907f0854cecb0119e5	p__Proteobacteria	c__Alphaproteobacteria
8713d4bee84f39725695b8735e53ba2b	p__Euryarchaeota	c__Thermoplasmata
5ccb83f32f585766c24c18450137c9ac	p__Proteobacteria	c__Betaproteobacteria
a833a099de545d391e915b85c147c45a	p__Euryarchaeota	c__Methanomicrobia
948529c7814fa156cb0bc5287d892caf	p__Proteobacteria	c__Alphaproteobacteria
9dbc2d16e8012ed91e770513ca9f2aa2	p__Bacteroidetes	c__Flavobacteriia
0a0730433ae832371a807a75df5b9de9	p__Bacteroidetes	c__Cytophagia
ea74413aebbc0555675431986656d063	p__Proteobacteria	c__Betaproteobacteria
3ac6f219cca9e6a7a5d273c7137c5ff3	p__Proteobacteria	c__Betaproteobacteria
b648215686c6bc1bf431590f7c527845	p__Firmicutes	c__Clostridia
62499346679c49fe8aed0d78d47abd19	p__Bacteroidetes	c__Bacteroidia
0609cd611bfb734ef63703fb08e0aeaa	p__Proteobacteria	c__Betaproteobacteria
188d94bccdaad52ce462c78fcd656319	p__Proteobacteria	c__Alphaproteobacteria
38c9da78bb35826c97707ef4a0908594	p__Proteobacteria	c__Alphaproteobacteria
0040e67618a3c24a9284105662231ac6	p__Chloroflexi	c__Thermomicrobia
8985b4659f44848667e67c32768d74b9	p__Bacteroidetes	c__Cytophagia
84bab8b4195c60503efd0bf6a2c7563a	p__Bacteroidetes	c__Saprospirae
b2281c8d79f4f940fb14b982572899a3	p__Proteobacteria	c__Alphaproteobacteria
a9831cd467d0b7f07a4bb1940351514b	p__Proteobacteria	c__Betaproteobacteria
587aab250b772da01d4042043c6d768b	p__Proteobacteria	c__Betaproteobacteria
9902274710d8edf910751109946c461d	p__Proteobacteria	c__Alphaproteobacteria
5899c0d5f129f901dacd4df0d978ac94	p__Bacteroidetes	c__Cytophagia
1121731b38ec693b26a80c86f6769a6f	p__Chloroflexi	c__Dehalococcoidetes
ddf958514204ee108c0943682c98905a	p__Proteobacteria	c__Gammaproteobacteria
fd0736415d4baa31267821db42ffeeb3	p__Chloroflexi	c__Dehalococcoidetes
ec289cbd052ad757a57fb75b14a11185	p__Firmicutes	c__Clostridia
9090fb7739310d02a6c280f46315e8b0	p__Bacteroidetes	c__Saprospirae
40c7c8232a786ab2cb25f36a6f8a4c2c	p__Proteobacteria	c__Alphaproteobacteria
0bf1db4b35d4a26d4396e5049dcc7167	p__Nitrospirae	c__Nitrospira
9dc8eb602981e00d15e8c151fdbe73ed	p__Proteobacteria	c__Betaproteobacteria
b802e4d79243e89e260a603e0fbe49bf	p__Firmicutes	c__Bacilli
2ded9e5b2707e7f8878e014cd5692fee	p__Proteobacteria	c__Gammaproteobacteria
43a05064ca7d15f8d8e162b25d4e6e93	p__Proteobacteria	c__Gammaproteobacteria
28ec361b49c69cee6ec7da96e9ba3787	p__Proteobacteria	c__Betaproteobacteria
c9a25c070a5f8e666aa5f9ce3fcf95d4	p__Proteobacteria	c__Epsilonproteobacteria
216b15707038b292409471f43e6e4299	p__Proteobacteria	c__Alphaproteobacteria
67e3fcbe13953c18b7fe8d346fa62dd9	p__Proteobacteria	c__Alphaproteobacteria
c07604d337ed61ddb2d6ddfdf88d25b1	p__Crenarchaeota	c__MCG
93dd82044c84d731c31e37c2abe35090	p__Nitrospirae	c__Nitrospira
6f1e359ca94b967a73829eed7683365c	p__Proteobacteria	c__Deltaproteobacteria
8520f046b7131bce2621fd47b66809e4	p__Proteobacteria	c__Betaproteobacteria
684112d9795473b9230271f77144f15a	p__Proteobacteria	c__Betaproteobacteria
347f9e808426fd901fc4d376a2c6173a	p__Gemmatimonadetes	c__Gemmatimonadetes
5c43b52fe58225a0dbf52748ab151f22	p__Proteobacteria	c__Alphaproteobacteria
dad1bdb92dd05df7d86d5dee1a7c939d	p__Actinobacteria	c__Acidimicrobiia
fbc92ce947f258d490ed3ad84ff595f2	p__Bacteroidetes	c__Cytophagia
66fb6afa8784ba10bfdc327ae75eef17	p__Proteobacteria	c__Betaproteobacteria
d7923b2735de7939a490cec3c0933485	p__Proteobacteria	c__Gammaproteobacteria
d59d30b2744b4a3db5a3dfdaeae4cb6b	p__Proteobacteria	c__Alphaproteobacteria
52c9151dd7665915706e7361c473282b	p__Firmicutes	c__Clostridia
40fca2245637ed3bd085e125c4033529	p__Proteobacteria	c__Betaproteobacteria
6d900c5aca3d656dea10f02e54f6619f	p__Proteobacteria	c__Alphaproteobacteria
96a99d4861a37cc8c6c2430a0a6eb3cf	p__Acidobacteria	c__Chloracidobacteria
e12f1f7289f9f13e651ff866969a7895	p__Bacteroidetes	c__Saprospirae
8c72a7a306dd18817817af22c6278c0e	p__Bacteroidetes	c__Cytophagia
9b732d4b9613b4b5785ad131f4ea65e1	p__Proteobacteria	c__Betaproteobacteria
82c3c6cfb22ffb014bfb4b395498a717	p__Chlorobi	c__
f381cf4e341f0b3a3256e6b905ff0c15	p__Proteobacteria	c__Gammaproteobacteria
f1ed557c3471b96a42179e300ee30055	p__Proteobacteria	c__Alphaproteobacteria
5b32fcf5d30d796d0ddf1a2fb5c3ae13	p__Verrucomicrobia	c__Verrucomicrobiae
5fd83747bac980435e5c7ecbc6f21d16	p__Proteobacteria	c__Betaproteobacteria
571ba86871f9811db0f80a5e2ba8c779	p__Proteobacteria	c__Alphaproteobacteria
41fb35dd9d794d85ecbf2633e70d4ff6	p__Crenarchaeota	c__MCG
3243d6fb93efc94a678def097870b457	p__Proteobacteria	c__Alphaproteobacteria
0a3e95e575f35586ac3c67c6012027f4	p__Firmicutes	c__Bacilli
d77e6b7ae2ad3f1c7690dd54ca0a2d00	p__Proteobacteria	c__Deltaproteobacteria
e32c0fe2c337cc21625b6192ed98825a	p__Actinobacteria	c__Actinobacteria
245a53e8cd0b29f16c96c2af57093706	p__Actinobacteria	c__Acidimicrobiia
d4ae217f91a9b8810ddb7d97cc4c2c4f	p__Bacteroidetes	c__Cytophagia
9788da7b5eba50bdf46e2b63357818b5	p__Proteobacteria	c__Betaproteobacteria
6b27496b50832ec11fd4cf66e1151989	p__Proteobacteria	c__Alphaproteobacteria
e58b8a7b12b314e486437540573de90e	p__Proteobacteria	c__Alphaproteobacteria
1e7840a0813a476a1c9bfb36353037bf	p__Proteobacteria	c__Alphaproteobacteria
edb688fcd8ea59879dc05f8eed4f7d96	p__Proteobacteria	c__Betaproteobacteria
69e003c8621e682e4a9aaf40d9c9c5ba	p__Proteobacteria	c__Alphaproteobacteria
27c05e860e61cefe87f02567860733f6	p__Proteobacteria	c__Gammaproteobacteria
6e16a93c195aa5e12d78de38db556c34	p__Thermi	c__Deinococci
9e5cb68e28c2e3bf10a5e0a789ef6200	p__Proteobacteria	c__Alphaproteobacteria
017e67d66e6349ab54f898b514e61ada	p__Actinobacteria	c__Thermoleophilia
2a04f3d9c8d5657b33583a9a8fb105cf	p__TM7	c__TM7_3
6c63c82df18654b544f28ef4bc4a3a2b	p__Crenarchaeota	c__MCG
f08ad31f9c424bfbb65f4474caa629c7	p__Bacteroidetes	c__At12OctB3
0c53025ae51c45fb3b053e3a2d415cfb	p__Acidobacteria	c__Chloracidobacteria
69b2938b466b700600d2d12078395d6b	p__Proteobacteria	c__Gammaproteobacteria
55b0b0d3aa48f6cba21dae357ccfa83c	p__Proteobacteria	c__Betaproteobacteria
a5248862d555827e0458d996bd009ae8	p__Euryarchaeota	c__Thermoplasmata
0b2342d9b299807bdcd7d883c063d14b	p__Chloroflexi	c__Dehalococcoidetes
dce2db9b3228240f637da7262f893cff	p__Proteobacteria	c__Alphaproteobacteria
cc285e597c11e02b38766025d5ab2885	p__Firmicutes	c__Clostridia
01f70df0ece80896a92f0679033ad85f	p__Proteobacteria	c__Betaproteobacteria
53d4bfe702780aa5a66cc667d0e2eac1	p__Proteobacteria	c__Alphaproteobacteria
7229f9f3d6a0d10cf980d782aef68508	p__Crenarchaeota	c__MCG
650a540254acd24c50fb90505483aa9b	p__Proteobacteria	c__Alphaproteobacteria
dfc1ea4c8d7232ba57a1920b1d306388	p__Actinobacteria	c__Acidimicrobiia
3427029b2fe849281d0f23e47e475f51	p__Proteobacteria	c__Betaproteobacteria
279af175ea571e55143bbdb89b77b4a6	p__Proteobacteria	c__Gammaproteobacteria
ccc4384579ecb4e9f49b3bf3b71703af	p__Actinobacteria	c__Actinobacteria
a2baf3e2bc3b6499133eab6039a85aa8	p__Acidobacteria	c__Chloracidobacteria
d8d3785e2865809e2413e6af79b957b2	p__Chloroflexi	c__Anaerolineae
7cb32f7841abbb1f469c6ea427a85a50	p__Proteobacteria	c__Gammaproteobacteria
339607e7bf537e937e9eab2f662b920b	p__Proteobacteria	c__Alphaproteobacteria
7a4d417fea765491851f892bbc2e8100	p__Proteobacteria	c__Alphaproteobacteria
45cb16ac04e6bddf8b974f2e7e5020eb	p__Proteobacteria	c__Betaproteobacteria
2015af01472169e21fe9ab75c50fb567	p__Bacteroidetes	c__Flavobacteriia
3ca019ec4eb5aa168570801696a3d48e	p__Acidobacteria	c__Solibacteres
de5f29553bebdb644ac8ab05992665cc	p__Proteobacteria	c__Betaproteobacteria
89e3ee2a69e7bcd72c0d3b61c594fc2e	p__Firmicutes	c__Clostridia
315ed1cb79a8f4de583ffbf3f1cd2072	p__Proteobacteria	c__Alphaproteobacteria
08ca77a8b2958b8228ac03fe857e1b3a	p__Proteobacteria	c__Alphaproteobacteria
7dc9730f636a70d4b911830aa32bc44d	p__Actinobacteria	c__Actinobacteria
c0e6871b763bbf67014a68cd0f35cd4f	p__Proteobacteria	c__Alphaproteobacteria
9c38ffe9d03792342e32320549c4fc41	p__Proteobacteria	c__Alphaproteobacteria
32606c9a66bf86d8a8839d12cf7ffcb0	p__Actinobacteria	c__Acidimicrobiia
095c840f18ea6084a55acaf1bfb64df4	p__Proteobacteria	c__Alphaproteobacteria
ae5322ab1cfd83def057be992f273d6c	p__Firmicutes	c__Clostridia
452e076485cacbc277bd05536e0c5baf	p__Proteobacteria	c__Betaproteobacteria
1eb0024480e1fb97f2cb63a02c6a0863	p__Firmicutes	c__Clostridia
fdf4d7b62b3a807511ce6f08d1881d11	p__Bacteroidetes	c__Saprospirae
1a90cbe876b57c6fa9286f1eae3d98a6	p__TM7	c__TM7_1
eccee526ca15dba4e798cc62e747499f	p__Proteobacteria	c__Betaproteobacteria
e172e63293a2f4e744466a4f398213c9	p__Proteobacteria	c__Alphaproteobacteria
a8808fa4f75a89a859e656bcc6aebf34	p__Proteobacteria	c__Betaproteobacteria
906def20188fd0a931bb83719c3135f3	p__Proteobacteria	c__Alphaproteobacteria
52ce6ab730d369e1dbea6541e8cb4184	p__Proteobacteria	c__Betaproteobacteria
d8d42d8c2a02fdd26a16362e77aada17	p__Fusobacteria	c__Fusobacteriia
bdc7defd62966698fa57cae7e52706a4	p__Proteobacteria	c__Alphaproteobacteria
4a397dc787078e359f0957f751b368e7	p__Bacteroidetes	c__Cytophagia
21a0815ac900baa1ab82e8398257a2f6	p__GN02	c__GKS2_174
73bbafa0f14ea82a452ffe7ae8f18551	p__Nitrospirae	c__Nitrospira
ca684629ce8779f27dbac382d792c48d	p__Bacteroidetes	c__Bacteroidia
d5b206ec834410a943f20ac0e88b9197	p__Proteobacteria	c__Alphaproteobacteria
80a49237acdeb7b6198b93eb987394ea	p__Actinobacteria	c__Actinobacteria
cdcda13fb1717792e425447cedfa62e6	p__Bacteroidetes	c__Sphingobacteriia
46a97446371a8fd2757da4e0c6d60e42	p__Gemmatimonadetes	c__Gemmatimonadetes
290138b2130f4649353ceb249a319378	p__Proteobacteria	c__Alphaproteobacteria
1fc2e710d7adb9ffb5bb12a29216f530	p__Proteobacteria	c__Alphaproteobacteria
f80641913ac4c31561a5c40a51f2d9f7	p__Proteobacteria	c__Gammaproteobacteria
275dac71fec69ae597756acee49169b0	p__Proteobacteria	c__Betaproteobacteria
63b1b40316587c966554bb8686970d19	p__Bacteroidetes	c__Saprospirae
81af9bcbe9fea35fac2be675eaaf1aba	p__Firmicutes	c__Clostridia
561ae61327c3e8ab353f65afc1851852	p__TM7	c__TM7_3
d587272013a522241763c9f0582ce872	p__Proteobacteria	c__Alphaproteobacteria
408bdeaa271edc130b5c6d7d35d8425a	p__Bacteroidetes	c__Cytophagia
a4a4b120752772926f8bfdd1d3299819	p__Proteobacteria	c__Alphaproteobacteria
3de067172162386b69cae575ea31cc74	p__Acidobacteria	c__Acidobacteria_6
d00a9d976d15bb678fe5a848ff730418	p__Firmicutes	c__Clostridia
493086ec75bcdcca31ce7affaf2e0bb5	p__Proteobacteria	c__Alphaproteobacteria
2b84f5bc1695ce93c9ae79cc810b5cfb	p__Crenarchaeota	c__MCG
e58b08a229bbade2a2655a55e38f8421	p__Bacteroidetes	c__Saprospirae
50c421058d0f71c55ec1d8129cb7576c	p__Proteobacteria	c__Betaproteobacteria
84b5bcd124ae9470cf28ea04c271be5e	p__Firmicutes	c__Bacilli
2e05976efcb8a7c42dbd9775962f6be5	p__Bacteroidetes	c__Saprospirae
65f6ab338d62d423d57cc918e18444a2	p__Verrucomicrobia	c__Verrucomicrobiae
cea1fcfb98f8e32cdbf3cf3edf014b04	p__Proteobacteria	c__Alphaproteobacteria
92aa0babc4e0f2ee07891aa78ecd2185	p__Chloroflexi	c__Anaerolineae
44321a9841157d0bfef7b760c1eba5c4	p__Proteobacteria	c__Deltaproteobacteria
eb7266711b639cf14c8ac30a1d0b477b	p__Proteobacteria	c__Gammaproteobacteria
58f35f8e476fe1688ff34a7a232aba32	p__Proteobacteria	c__Alphaproteobacteria
8aaf1f342022ffa686f54b8a4bdffb46	p__Euryarchaeota	c__Methanomicrobia
059f4a425f4585e66e765234b4e40e20	p__Proteobacteria	c__Alphaproteobacteria
c5afd7fa75fd897584ec181e99add165	p__Firmicutes	c__Clostridia
3d9af338cb6312e88cdc1d6e05fe37d7	p__Bacteroidetes	c__Saprospirae
44efd4647df27bd722464e192b5a9b3a	p__Proteobacteria	c__Betaproteobacteria
9fad77b5740e57195e2d11f05527aabc	p__Cyanobacteria	c__Synechococcophycideae
a7d17cd4bcf6d630d434f9851cdda83f	p__Proteobacteria	c__Alphaproteobacteria
c0b417d4fa7203df0b3a28488e38fea6	p__Bacteroidetes	c__Cytophagia
46f0e66f55898295543a77394d7946a4	p__Bacteroidetes	c__Sphingobacteriia
4838639a92ef51b49c631acd16b6b814	p__Bacteroidetes	c__Saprospirae
7e229a8f394220b980b381a28216d132	p__Bacteroidetes	c__Flavobacteriia
b8515ca87dda874f3b83329347d9fecd	p__Proteobacteria	c__Alphaproteobacteria
a0a8dfb532c821b48cde9b11c99abb73	p__Proteobacteria	c__Alphaproteobacteria
6f2bb9c0388846f3272bfe75d4b4cabb	p__Bacteroidetes	c__Bacteroidia
9e47e78764bfcfb95ec0f86771a4af74	p__Chloroflexi	c__Thermomicrobia
b0f4a250949cff308ed1476736a738ae	p__Bacteroidetes	c__Cytophagia
6f2de4646972502517046b2665230230	p__Bacteroidetes	c__Saprospirae
22bc77c41160c0c9a4f0c9e8faa3cb93	p__Proteobacteria	c__Alphaproteobacteria
5d962d41adeb84cd82558b3bac70c3eb	p__Proteobacteria	c__Alphaproteobacteria
687d24027cfdc3b88bff968b20a0a057	p__Actinobacteria	c__Actinobacteria
c2c0c4888635dc74fa89e3d9b851ac26	p__Proteobacteria	c__Alphaproteobacteria
2859acf25e46991d2d1d7ab882b7e8ee	p__Proteobacteria	c__Betaproteobacteria
59d7c698ca968542c05a7089110bc043	p__Bacteroidetes	c__Cytophagia
cf887ac0d74ffa2146436072fa5f1e6f	p__Chloroflexi	c__Dehalococcoidetes
3ed7238b0fed1ab86d433c384db47e25	p__Bacteroidetes	c__Saprospirae
dda10652fb0053c817abad71f78f7068	p__Proteobacteria	c__Alphaproteobacteria
6bb923ce871fcc05ae2f947eb1800c33	p__Proteobacteria	c__Deltaproteobacteria
b8552d0196bd8c5f82361f7e2fcf93ac	p__Proteobacteria	c__Betaproteobacteria
e0ef359f243c859f25fb866fdd019fd9	p__Proteobacteria	c__Betaproteobacteria
18a95bbfebee98f5786b04a3eaa7deab	p__Proteobacteria	c__Alphaproteobacteria
5e7af07e363dea98f216cf0e88c3c5f8	p__Proteobacteria	c__Betaproteobacteria
f2bae12c5f67c8e9a32e19ae5b079ea6	p__Bacteroidetes	c__Bacteroidia
148b701908254d02c56783a68a762307	p__Chloroflexi	c__Anaerolineae
9aef4e2850c113a6426184faaa393453	p__Proteobacteria	c__Betaproteobacteria
093fd2e2710a02709346b3e40ba60d8a	p__Proteobacteria	c__Deltaproteobacteria
e36e31e304b27e3096530d069a14e513	p__Chloroflexi	c__Dehalococcoidetes
4685bb74b60749e467b047978ace811e	p__Proteobacteria	c__Alphaproteobacteria
38540174ee113ec1a9d95d235c3e156a	p__Proteobacteria	c__Alphaproteobacteria
da602611605d3a4e4f34f65de6745888	p__Proteobacteria	c__Betaproteobacteria
532df516c93b19da877661f515922854	p__Proteobacteria	c__Betaproteobacteria
a01acf13e458e741f20e109448d3d263	p__Bacteroidetes	c__Bacteroidia
589e41e5d37cd3dab21bf03575ac18d7	p__Acidobacteria	c__Acidobacteria_6
aa08a4962ddbc02e3ff4f100135938f8	p__Proteobacteria	c__Betaproteobacteria
c07669c2185e8967d9dd6483e3009de2	p__Firmicutes	c__Clostridia
a61fd7f4cc1aa36bfc57974ee95e6330	p__Proteobacteria	c__Gammaproteobacteria
54c7629d6bc4af79dc972a31efa08dfa	p__Firmicutes	c__Clostridia
3c1b1afa9b451129d6744b3fb2814b20	p__Bacteroidetes	c__Saprospirae
0b6abf7a01a8ceb1a37c0ce8c5f9f570	p__Verrucomicrobia	c__Opitutae
7e5b9a5a6ae608841894801b362577f8	p__Bacteroidetes	c__Saprospirae
c4480182edde339ed1e9fd2290c6913a	p__Bacteroidetes	c__Rhodothermi
7aeec5dc0193f7b1b07d64f7c2ce60b8	p__Proteobacteria	c__Betaproteobacteria
e5cd71144e5fa2064b4543da65632455	p__Proteobacteria	c__Alphaproteobacteria
f06209e8c908fd3f6cea68279b439979	p__Proteobacteria	c__Alphaproteobacteria
ea79883e2ccc74a3be90e0fe50b794d5	p__Crenarchaeota	c__MCG
cfce8945b44605479f42d4d770b4dfda	p__Proteobacteria	c__Gammaproteobacteria
94894e7f676a81bd47f7deca13b8d51a	p__Proteobacteria	c__Betaproteobacteria
71b8c428a89e70a5c1c69f195fc8b4de	p__Firmicutes	c__Clostridia
d60b68cd32c835af334598580cded406	p__Proteobacteria	c__Alphaproteobacteria
2a740948b3cd120d52cc1e7fd8ee7e89	p__Bacteroidetes	c__Saprospirae
5d5546ac6ff5ba3dc2198eb676ddfc2b	p__Actinobacteria	c__Actinobacteria
8c92c99cbbe89ed7ab628bac0b373fe1	p__Gemmatimonadetes	c__Gemmatimonadetes
7b40056a15f76b8a963be959ff6b28c8	p__Proteobacteria	c__Gammaproteobacteria
360a18ba5cf6b847f6054e0c13a77be5	p__Proteobacteria	c__Alphaproteobacteria
160f6ac0cc925564f14d3cf6bb267640	p__Proteobacteria	c__Betaproteobacteria
7dcb50fbf0204dda6bd73aa0cdb34e46	p__Bacteroidetes	c__Saprospirae
fd43fe48f4f2a1dd5478dcb19429acf3	p__Firmicutes	c__Clostridia
ecf151ccf94cfd1010c47797ed1c590a	p__Bacteroidetes	c__Saprospirae
f530d2716c6ce8ee4b5fdd905253f467	p__Proteobacteria	c__Alphaproteobacteria
ef873b9f5b86b06b195f3451b8a30718	p__Crenarchaeota	c__MCG
ca24fd299de29458101a2d2d8f1b3125	p__Proteobacteria	c__Gammaproteobacteria
fe976dcb48ecbffa841b304781cbe3b4	p__Proteobacteria	c__Betaproteobacteria
b22af0b0916cabae15db89ef6f2dedd9	p__Bacteroidetes	c__Saprospirae
e4fc1d68b2b7373921f82338b460751e	p__OP8	c__OP8_1
0fffd555e6195153cd9b1940d4c1c199	p__Bacteroidetes	c__Cytophagia
0b3ed6916403b6ef444c4b68123d6d6f	p__Proteobacteria	c__Alphaproteobacteria
82206147e7ec2a899e42890a6a9d05dc	p__Proteobacteria	c__Gammaproteobacteria
e95ab1164e715489b80a46934f40fd3e	p__Proteobacteria	c__Betaproteobacteria
a7b136738a4438f681f88b822f35f5bd	p__Proteobacteria	c__Betaproteobacteria
1e8386eadd50f48613509c71c3b9a888	p__Proteobacteria	c__Betaproteobacteria
6f0963c12d99e9e61ce81637a2198de0	p__OP8	c__OP8_1
bccebccc4d9f4883115a0d06a5e2ab00	p__Deferribacteres	c__Deferribacteres
349afe68eb71fb9d8839d02f08a8919f	p__Proteobacteria	c__Alphaproteobacteria
612cbdcf74db1746dc8e349b2ddf63d7	p__Proteobacteria	c__Alphaproteobacteria
419e8da4176a416d48d8597c37e3c991	p__Proteobacteria	c__Alphaproteobacteria
1e2f70681930498d79066b4f27d93dce	p__Bacteroidetes	c__Cytophagia
11365b476dd3bd1d92fee3a7c93f65e2	p__Proteobacteria	c__Betaproteobacteria
1370f32f7105b460e99d330d4f8029ff	p__Proteobacteria	c__Betaproteobacteria
5eb9bd4cb0bac3faf724165277a58d51	p__Proteobacteria	c__Alphaproteobacteria
1040761dbf843e09cccfce352ddb9471	p__Deferribacteres	c__Deferribacteres
c6200d71fd0bf282f7738c78d58699c5	p__Proteobacteria	c__
8dc313ad70e46dc4aa6fdc25df255d23	p__Proteobacteria	c__Alphaproteobacteria
91adafa48f0ab583fb5f5ba91c8001ac	p__Actinobacteria	c__Acidimicrobiia
b3c20c465fd95ad29286efcaf9f2fbfd	p__Proteobacteria	c__Betaproteobacteria
ac59ef6d055ab9d86a032c7cf9fc2f37	p__Proteobacteria	c__Gammaproteobacteria
177dcde212015e3f1fa4f93a9c66d22f	p__Chloroflexi	c__S085
5e3b54d7073a081c97a18561f08f3c86	p__Cyanobacteria	c__ML635J_21
7364ec89f89f8e8286d0906e6f65960e	p__Bacteroidetes	c__Flavobacteriia
b5d119de6a3e313f7f7a8958b60d9383	p__Bacteroidetes	c__Cytophagia
974f7754d8dead0ddcce407e9c7dd73c	p__Proteobacteria	c__Betaproteobacteria
4da43eb9c4895e17ffe4bb850d45f2fe	p__Bacteroidetes	c__Bacteroidia
fc81b4693675c2b89c7d79ce516c22a3	p__Proteobacteria	c__Alphaproteobacteria
80ed50999f7f4fdf82c5041bccd5ed2d	p__Proteobacteria	c__Gammaproteobacteria
a74a1c08b71f4437c2a9c528a2d7f667	p__Chloroflexi	c__Dehalococcoidetes
526f61b91feb2041a0a1d24ab02b7b07	p__Crenarchaeota	c__MCG
ad32e299d0ffbf30e94ce3dbdec4a01d	p__Proteobacteria	c__Alphaproteobacteria
0d2d7d806d23067033980c38bd5ce6cf	p__Proteobacteria	c__Betaproteobacteria
a6c99851b554e07db4c01158f42c47f6	p__Actinobacteria	c__Actinobacteria
d06d1fb1d990d9b8ae0fd2e7997ea7a3	p__Proteobacteria	c__Epsilonproteobacteria
ab0996f71016b622bdde7637d7249843	p__Proteobacteria	c__Gammaproteobacteria
15da44de65e8219a4aeca3c44cbf40eb	p__Proteobacteria	c__Epsilonproteobacteria
ef3af9657d22672231f00142a639f1a1	p__Proteobacteria	c__Gammaproteobacteria
f0d81d04ff026e85af7f3bf570b22e2d	p__TM7	c__TM7_3
ae66aebb511819205a5b8438b2dedda5	p__Proteobacteria	c__Alphaproteobacteria
d450441cea9198ebd7c8788b0da0cf15	p__Proteobacteria	c__Alphaproteobacteria
5b37d02d68ccc2828c7248791b1e3dc1	p__Proteobacteria	c__Epsilonproteobacteria
b0a9e0270576c4d198a45e13a07654af	p__Proteobacteria	c__Betaproteobacteria
39ae75caa3841b72e332ea0623cff3d2	p__Proteobacteria	c__Deltaproteobacteria
fa4f32f6b336b2f5171d569f2210d704	p__Proteobacteria	c__Betaproteobacteria
ccfddcd1ba7f4cb7794ed244e7ee895e	p__Chloroflexi	c__Dehalococcoidetes
0c11f842d491d6a3951b10393a82e1e3	p__Proteobacteria	c__Gammaproteobacteria
fcf31dcb1d51e07d08982fd3882e356b	p__Proteobacteria	c__Gammaproteobacteria
850bae2d56a5a70acca9707e2c14e1b3	p__Proteobacteria	c__Betaproteobacteria
8ef77849cb015c952e0c3c0b9578901c	p__Bacteroidetes	c__Cytophagia
dab21b75666ad5ac5e33c76a0dc803b6	p__Proteobacteria	c__Betaproteobacteria
7d120084564d1993aceb6e5f0adcf3f3	p__Bacteroidetes	c__Sphingobacteriia
73ac33b0b8383ef7e857da3657551234	p__Bacteroidetes	c__Saprospirae
a4754175e49366a8628e4a4c6ed737f6	p__Cyanobacteria	c__Synechococcophycideae
24bf4b8ce35f626fb93852d88a663c7b	p__Acidobacteria	c__Acidobacteria_6
b9ca9b590d3903b909ca80f58cc7d187	p__Bacteroidetes	c__Cytophagia
b953269232bd0dfaec4cc9934a3f615d	p__Bacteroidetes	c__Saprospirae
c89def0b47720bd00ac997c1eeaf60d0	p__Proteobacteria	c__Alphaproteobacteria
cbb614a3abb84474611d31a05087f430	p__Proteobacteria	c__Betaproteobacteria
e50ae5dc59030f19e386b1965bfa8d92	p__Proteobacteria	c__Betaproteobacteria
33dbe791ed45abf9f2b108adbe73d3e9	p__Bacteroidetes	c__Bacteroidia
cd62c0d5918729d92994cc005df902df	p__Proteobacteria	c__Alphaproteobacteria
f6ee018feba98f08f17379028dfb04c3	p__Gemmatimonadetes	c__Gemmatimonadetes
718b8b48c084e5db589356e536757ba8	p__Proteobacteria	c__Gammaproteobacteria
a9a18299fca553f679ce35135808d4f0	p__Proteobacteria	c__Betaproteobacteria
b9f6ea474a3d4b50f37d22fd17482d4d	p__Proteobacteria	c__Alphaproteobacteria
e0c23aaf629fe7470980220b88c50682	p__Proteobacteria	c__Betaproteobacteria
d49811651de132cc8daf0e5777ec23f4	p__Actinobacteria	c__Actinobacteria
b72c8b4ba7880d99bfb6b43060f25e9f	p__Bacteroidetes	c__Flavobacteriia
d9c3843cfde00fcfcf1d00f784806df2	p__Cyanobacteria	c__Synechococcophycideae
06843da3cbd1962d0a6f9917b1fb63d0	p__Firmicutes	c__Bacilli
8178dc71f2545ac3ea2726ef1f708ba2	p__Proteobacteria	c__Alphaproteobacteria
2b7c746c0ebbfeb0d6cfcbf0f737edae	p__Bacteroidetes	c__Rhodothermi
f9387bce0fe14adfded36a97ffb9a020	p__Proteobacteria	c__Betaproteobacteria
9080e8dc4ad8c43bc86b21eb50f54204	p__Proteobacteria	c__Alphaproteobacteria
65f78bc6ce1612c86ba6eecf56be0e30	p__Proteobacteria	c__Deltaproteobacteria
cb4d42a37f269eae73e1e1f46c7a45ab	p__Proteobacteria	c__Betaproteobacteria
cd467f70475e420ce2a1c83e0b77becb	p__Bacteroidetes	c__Saprospirae
9b44337b667e55475f894b142cb89360	p__Chloroflexi	c__Anaerolineae
06e52f9b907b876f47d99b6ce2b7eefd	p__Bacteroidetes	c__Cytophagia
b0ed0c20f081e1c851209e88a04fc74b	p__Firmicutes	c__Clostridia
788c3fc733604cd267e5c577df824608	p__Proteobacteria	c__Betaproteobacteria
6f60b82a82cce0dca64b81c8df8a9cfd	p__Proteobacteria	c__Betaproteobacteria
abc1202a24983feacdc0d39c43551807	p__Proteobacteria	c__Gammaproteobacteria
5ccdb116d55159b309e1885cb51becf6	p__Actinobacteria	c__Actinobacteria
